figure_code	name_zh	legacy_id	new_id	disposition	group	source_card	source_ref	status	notes
H-JX-001	"知性之强调"——理性思辨主导法	M002	M-JX-002	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L3	已落盘（批1，已提交）	
H-JX-001	"纯粹的诗"——诗歌本体论建构法	M003	M-JX-003	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L4	已落盘（批1，已提交）	
H-JX-001	存在主义诗学——思想资源转化法	M004	M-JX-004	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L5	已落盘（批1，已提交）	
H-JX-001	"诗是人类生活中的高扬部分"——超越性价值定位法	M005	M-JX-005	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L6	已落盘（批1，已提交）	
H-JX-001	"六个信条"系统化诗学建构法	M006	M-JX-006	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L7	已落盘（批1，已提交）	
H-JX-001	"独狼"精神——孤独独立艺术人格法	M007	M-JX-007	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L8	已落盘（批1，已提交）	
H-JX-001	蓝星论战——多元诗学路径争鸣法	M008	M-JX-008	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L9	已落盘（批1，已提交）	
H-JX-001	"新的人类"——现代性价值取向法	M009	M-JX-009	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L10	已落盘（批1，已提交）	
H-JX-001	终身创作——持续实践验证法	M010	M-JX-010	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-JX-001/id_mapping.tsv L11	已落盘（批1，已提交）	
H-SQL-001	人道主义博爱法	M361	M-SQL-001	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L2	已落盘（批1，已提交）	
H-SQL-001	国际主义团结法	M362	M-SQL-002	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L3	已落盘（批1，已提交）	
H-SQL-001	妇女解放实践法	M363	M-SQL-003	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L4	已落盘（批1，已提交）	
H-SQL-001	统战艺术法	M364	M-SQL-004	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L5	已落盘（批1，已提交）	
H-SQL-001	和平统一倡导法	M365	M-SQL-005	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L6	已落盘（批1，已提交）	
H-SQL-001	社会福利建设法	M366	M-SQL-006	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L7	已落盘（批1，已提交）	
H-SQL-001	文化教育提升法	M367	M-SQL-007	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L8	已落盘（批1，已提交）	
H-SQL-001	国际外交桥梁法	M368	M-SQL-008	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L9	已落盘（批1，已提交）	
H-SQL-001	政治斗争韧性法	M369	M-SQL-009	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L10	已落盘（批1，已提交）	
H-SQL-001	理想与现实统一法	M370	M-SQL-010	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-SQL-001/id_mapping.tsv L11	已落盘（批1，已提交）	
H-WL-001	实事求是改革法	M274	M-WL-001	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L2	已落盘（批1，已提交）	
H-WL-001	大胆探索先行法	M275	M-WL-002	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L3	已落盘（批1，已提交）	
H-WL-001	注重实效决策法	M276	M-WL-003	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L4	已落盘（批1，已提交）	
H-WL-001	渐进稳妥推进法	M277	M-WL-004	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L5	已落盘（批1，已提交）	
H-WL-001	实事求是用人法	M278	M-WL-005	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L6	已落盘（批1，已提交）	
H-WL-001	调查研究决策法	M279	M-WL-006	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L7	已落盘（批1，已提交）	
H-WL-001	重点突破带动全局法	M280	M-WL-007	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L8	已落盘（批1，已提交）	
H-WL-001	党内民主决策法	M281	M-WL-008	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L9	已落盘（批1，已提交）	
H-WL-001	制度创新思维法	M282	M-WL-009	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L10	已落盘（批1，已提交）	
H-WL-001	历史经验总结法	M283	M-WL-010	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-WL-001/id_mapping.tsv L11	已落盘（批1，已提交）	
H-YSK-001	中枢协调法	M431	M-YSK-001	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L2	已落盘（批1，已提交）	
H-YSK-001	地下工作法	M432	M-YSK-002	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L3	已落盘（批1，已提交）	
H-YSK-001	后勤统筹法	M433	M-YSK-003	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L4	已落盘（批1，已提交）	
H-YSK-001	组织建设法	M434	M-YSK-004	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L5	已落盘（批1，已提交）	
H-YSK-001	秘密联络法	M435	M-YSK-005	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L6	已落盘（批1，已提交）	
H-YSK-001	边区治理法	M436	M-YSK-006	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L7	已落盘（批1，已提交）	
H-YSK-001	信息整合法	M437	M-YSK-007	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L8	已落盘（批1，已提交）	
H-YSK-001	体制维护法	M438	M-YSK-008	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L9	已落盘（批1，已提交）	
H-YSK-001	干部培养法	M439	M-YSK-009	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L10	已落盘（批1，已提交）	
H-YSK-001	历史定位法	M440	M-YSK-010	迁入并统一重编（v6 复刻）	A	t_4481df98	docs/scratch/legacy20_rev6_landing/batch1/H-YSK-001/id_mapping.tsv L11	已落盘（批1，已提交）	
H-CHB-001	理论批判法	M211	M-CHB-001	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L2	已落盘（批2，已提交）	
H-CHB-001	阶级分析法	M212	M-CHB-002	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L3	已落盘（批2，已提交）	
H-CHB-001	政治敏锐法	M213	M-CHB-003	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L4	已落盘（批2，已提交）	
H-CHB-001	战斗檄文法	M214	M-CHB-004	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L5	已落盘（批2，已提交）	
H-CHB-001	系统批判法	M215	M-CHB-005	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L6	已落盘（批2，已提交）	
H-CHB-001	历史唯物分析法	M216	M-CHB-006	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L7	已落盘（批2，已提交）	
H-CHB-001	群众路线法	M217	M-CHB-007	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L8	已落盘（批2，已提交）	
H-CHB-001	意识形态分析法	M218	M-CHB-008	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L9	已落盘（批2，已提交）	
H-CHB-001	辩证否定法	M219	M-CHB-009	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L10	已落盘（批2，已提交）	
H-CHB-001	综合方法论	M220	M-CHB-010	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-CHB-001/id_mapping.tsv L11	已落盘（批2，已提交）	
H-DYC-001	妇女解放法	M321	M-DYC-001	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L2	已落盘（批2，已提交）	
H-DYC-001	柔性外交法	M322	M-DYC-002	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L3	已落盘（批2，已提交）	
H-DYC-001	党内民主法	M323	M-DYC-003	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L4	已落盘（批2，已提交）	
H-DYC-001	婚姻立法推动法	M324	M-DYC-004	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L5	已落盘（批2，已提交）	
H-DYC-001	组织网络构建法	M325	M-DYC-005	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L6	已落盘（批2，已提交）	
H-DYC-001	民生保障法	M326	M-DYC-006	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L7	已落盘（批2，已提交）	
H-DYC-001	民间外交法	M327	M-DYC-007	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L8	已落盘（批2，已提交）	
H-DYC-001	家风传承法	M328	M-DYC-008	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L9	已落盘（批2，已提交）	
H-DYC-001	渐进改革法	M329	M-DYC-009	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L10	已落盘（批2，已提交）	
H-DYC-001	综合创新法	M330	M-DYC-010	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-DYC-001/id_mapping.tsv L11	已落盘（批2，已提交）	
H-FXT-001	差序格局分析法	M341	M-FXT-001	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L2	已落盘（批2，已提交）	
H-FXT-001	多元一体格局理论	M342	M-FXT-002	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L3	已落盘（批2，已提交）	
H-FXT-001	乡土社会转型分析法	M343	M-FXT-003	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L4	已落盘（批2，已提交）	
H-FXT-001	实地调查研究法	M344	M-FXT-004	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L5	已落盘（批2，已提交）	
H-FXT-001	文化自觉理论	M345	M-FXT-005	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L6	已落盘（批2，已提交）	
H-FXT-001	社区综合研究法	M346	M-FXT-006	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L7	已落盘（批2，已提交）	
H-FXT-001	区域协调发展法	M347	M-FXT-007	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L8	已落盘（批2，已提交）	
H-FXT-001	民族政策综合评估法	M348	M-FXT-008	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L9	已落盘（批2，已提交）	
H-FXT-001	知识生产田野转化法	M349	M-FXT-009	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L10	已落盘（批2，已提交）	
H-FXT-001	跨文化比较分析法	M350	M-FXT-010	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-FXT-001/id_mapping.tsv L11	已落盘（批2，已提交）	
H-KKQ-001	群众路线法	M321	M-KKQ-001	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L2	已落盘（批2，已提交）	
H-KKQ-001	组织建设法	M322	M-KKQ-002	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L3	已落盘（批2，已提交）	
H-KKQ-001	妇女解放法	M323	M-KKQ-003	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L4	已落盘（批2，已提交）	
H-KKQ-001	儿童保育法	M324	M-KKQ-004	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L5	已落盘（批2，已提交）	
H-KKQ-001	实事求是法	M325	M-KKQ-005	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L6	已落盘（批2，已提交）	
H-KKQ-001	平等法治法	M326	M-KKQ-006	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L7	已落盘（批2，已提交）	
H-KKQ-001	国际视野法	M327	M-KKQ-007	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L8	已落盘（批2，已提交）	
H-KKQ-001	自力更生法	M328	M-KKQ-008	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L9	已落盘（批2，已提交）	
H-KKQ-001	综合协调法	M329	M-KKQ-009	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L10	已落盘（批2，已提交）	
H-KKQ-001	四自精神法	M330	M-KKQ-010	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-KKQ-001/id_mapping.tsv L11	已落盘（批2，已提交）	
H-LWH-001	爱国统一法	M341	M-LWH-001	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L2	已落盘（批2，已提交）	
H-LWH-001	民族区域自治法	M342	M-LWH-002	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L3	已落盘（批2，已提交）	
H-LWH-001	宗教渐进法	M343	M-LWH-003	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L4	已落盘（批2，已提交）	
H-LWH-001	党校培养法	M344	M-LWH-004	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L5	已落盘（批2，已提交）	
H-LWH-001	实事求是调察法	M345	M-LWH-005	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L6	已落盘（批2，已提交）	
H-LWH-001	妥协联合艺术	M346	M-LWH-006	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L7	已落盘（批2，已提交）	
H-LWH-001	群众利益代表法	M347	M-LWH-007	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L8	已落盘（批2，已提交）	
H-LWH-001	批评自我批评法	M348	M-LWH-008	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L9	已落盘（批2，已提交）	
H-LWH-001	封建主义批判法	M349	M-LWH-009	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L10	已落盘（批2，已提交）	
H-LWH-001	历史经验总结法	M350	M-LWH-010	迁入并统一重编（v6 复刻）	A	t_2d5112c6	docs/scratch/legacy20_rev6_landing/batch2/H-LWH-001/id_mapping.tsv L11	已落盘（批2，已提交）	
H-DYM-001	董宇明	M011	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M012	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M013	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M014	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M015	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M016	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M017	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M018	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M019	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-DYM-001	董宇明	M020	—（归档，无新号）	归档完成（R2 归位后三件入 _duplicates，字节保全）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-DYM-001/archive_manifest.json（M11~M20 区间）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	三件 sha256 与 R2 post 一致（未再改动）；figure_names 1 键清档；R-恢复报告 4.5 DY 行存疑登记备查（不改历史报告）
H-HZX-002	王祥	M301	—（归档/待重做，B 收口裁定）	归档完成；内容重做另立卡（重做不以换码为前提）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-HZX-002/archive_recommendation.json（M301~M310）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	归档三件 sha256 登记于 data/figures/_duplicates；待重做清单 docs/research/phase21r6B_wangxiang_redo_list.md；figure_names 5 键清档；码位提示更正：H-WX-001 已被王选占用（评估稿误判），重做建议 M-WX-001~010 或船长另定
H-HZX-002	王祥	M302	—（归档/待重做，B 收口裁定）	归档完成；内容重做另立卡（重做不以换码为前提）	B	t_f3aabe2c	docs/scratch/legacy20_r6b/H-HZX-002/archive_recommendation.json（M301~M310）	已归档（字节件入 _duplicates；B 收口 t_f3aabe2c 执行）	归档三件 sha256 登记于 data/figures/_duplicates；待重做清单 docs/research/phase21r6B_wangxiang_redo_list.md；figure_names 5 键清档；码位提示更正：H-WX-001 已被王选占用（评估稿误判），重做建议 M-WX-001~010 或船长另定
